file,source,category,label,bbox_x1,bbox_y1,bbox_x2,bbox_y2
projectiles/right/small_bullet.png,"ChatGPT Image May 27, 2026, 09_39_32 PM(1).png",projectiles/right,small_bullet,157,127,322,180
projectiles/right/rifle_bullet.png,"ChatGPT Image May 27, 2026, 09_39_32 PM(1).png",projectiles/right,rifle_bullet,151,261,385,321
projectiles/right/flamethrower_flame.png,"ChatGPT Image May 27, 2026, 09_39_32 PM(1).png",projectiles/right,flamethrower_flame,204,408,856,525
projectiles/right/rocket.png,"ChatGPT Image May 27, 2026, 09_39_32 PM(1).png",projectiles/right,rocket,161,599,533,685
projectiles/right/land_mine.png,"ChatGPT Image May 27, 2026, 09_39_32 PM(1).png",projectiles/right,land_mine,207,765,349,871
projectiles/right/explosion_effect.png,"ChatGPT Image May 27, 2026, 09_39_32 PM(1).png",projectiles/right,explosion_effect,448,759,589,877
projectiles/left/small_bullet.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (1).png",projectiles/left,small_bullet,329,128,493,181
projectiles/left/rifle_bullet.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (1).png",projectiles/left,rifle_bullet,268,262,499,321
projectiles/left/flamethrower_flame.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (1).png",projectiles/left,flamethrower_flame,86,409,668,525
projectiles/left/rocket.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (1).png",projectiles/left,rocket,228,600,588,685
projectiles/left/explosion_effect.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (1).png",projectiles/left,explosion_effect,166,759,307,876
projectiles/left/land_mine.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (1).png",projectiles/left,land_mine,401,765,542,871
defense/turret_parts_right/wooden_spiked_fence.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,wooden_spiked_fence,229,78,481,353
defense/turret_parts_right/metal_spiked_fence.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,metal_spiked_fence,564,80,843,353
defense/turret_parts_right/electric_spiked_fence.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,electric_spiked_fence,936,82,1229,352
defense/turret_parts_right/pistol_turret_base_01.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,pistol_turret_base_01,160,372,370,501
defense/turret_parts_right/pistol_turret_barrel_normal.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,pistol_turret_barrel_normal,540,407,650,461
defense/turret_parts_right/pistol_turret_barrel_normal_03.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,pistol_turret_barrel_normal_03,887,410,1018,463
defense/turret_parts_right/machinegun_turret_base_01.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,machinegun_turret_base_01,153,521,380,661
defense/turret_parts_right/machinegun_turret_barrel_normal.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,machinegun_turret_barrel_normal,542,567,679,625
defense/turret_parts_right/machinegun_turret_base_03.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,machinegun_turret_base_03,890,573,1079,628
defense/turret_parts_right/sniper_turret_base_01.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,sniper_turret_base_01,139,677,389,828
defense/turret_parts_right/sniper_turret_base_02.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,sniper_turret_base_02,536,713,807,769
defense/turret_parts_right/sniper_turret_base_03.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,sniper_turret_base_03,887,711,1303,779
defense/turret_parts_right/flamethrower_turret_base_01.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,flamethrower_turret_base_01,118,846,390,998
defense/turret_parts_right/flamethrower_turret_barrel_normal.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,flamethrower_turret_barrel_normal,530,871,679,937
defense/turret_parts_right/flamethrower_turret_base_03.png,"ChatGPT Image May 27, 2026, 10_15_41 PM(1).png",defense/turret_parts_right,flamethrower_turret_base_03,885,876,1327,944
defense/turret_parts_left/wooden_spiked_fence.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,wooden_spiked_fence,228,77,479,353
defense/turret_parts_left/metal_spiked_fence.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,metal_spiked_fence,562,79,841,353
defense/turret_parts_left/electric_spiked_fence.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,electric_spiked_fence,930,81,1222,352
defense/turret_parts_left/pistol_turret_base_01.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,pistol_turret_base_01,159,373,368,501
defense/turret_parts_left/pistol_turret_base_04.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,pistol_turret_base_04,1082,373,1289,501
defense/turret_parts_left/pistol_turret_barrel_normal.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,pistol_turret_barrel_normal,489,408,596,461
defense/turret_parts_left/pistol_turret_barrel_normal_03.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,pistol_turret_barrel_normal_03,854,411,963,467
defense/turret_parts_left/machinegun_turret_base_01.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,machinegun_turret_base_01,153,521,378,661
defense/turret_parts_left/machinegun_turret_base_04.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,machinegun_turret_base_04,1071,521,1294,661
defense/turret_parts_left/machinegun_turret_barrel_normal.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,machinegun_turret_barrel_normal,489,567,620,623
defense/turret_parts_left/machinegun_turret_base_03.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,machinegun_turret_base_03,833,570,997,626
defense/turret_parts_left/sniper_turret_base_01.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,sniper_turret_base_01,150,678,384,828
defense/turret_parts_left/sniper_turret_base_03.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,sniper_turret_base_03,743,678,1294,828
defense/turret_parts_left/sniper_turret_base_02.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,sniper_turret_base_02,470,721,697,773
defense/turret_parts_left/flamethrower_turret_base_01.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,flamethrower_turret_base_01,118,849,379,999
defense/turret_parts_left/flamethrower_turret_base_03.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,flamethrower_turret_base_03,743,849,1326,999
defense/turret_parts_left/flamethrower_turret_barrel_normal.png,"ChatGPT Image May 27, 2026, 10_39_42 PM (2).png",defense/turret_parts_left,flamethrower_turret_barrel_normal,468,877,601,941
shop_icons/right/smg.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,smg,541,125,669,229
shop_icons/right/rifle.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,rifle,739,134,925,213
shop_icons/right/flamethrower.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,flamethrower,994,134,1164,228
shop_icons/right/rocket_launcher.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,rocket_launcher,1223,134,1411,216
shop_icons/right/pistol.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,pistol,104,137,200,210
shop_icons/right/shotgun.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,shotgun,285,140,454,209
shop_icons/right/wooden_spiked_fence.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,wooden_spiked_fence,131,314,418,623
shop_icons/right/metal_spiked_fence.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,metal_spiked_fence,553,314,870,624
shop_icons/right/electric_spiked_fence.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,electric_spiked_fence,988,317,1320,624
shop_icons/right/pistol_turret.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,pistol_turret,91,720,328,955
shop_icons/right/machinegun_turret.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,machinegun_turret,419,715,656,955
shop_icons/right/sniper_turret.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,sniper_turret,744,718,1020,955
shop_icons/right/flamethrower_turret.png,"ChatGPT Image May 27, 2026, 10_30_15 PM(1).png",shop_icons/right,flamethrower_turret,1096,715,1336,955
shop_icons/left/rocket_launcher.png,"ChatGPT Image May 27, 2026, 10_39_43 PM (3).png",shop_icons/left,rocket_launcher,104,133,283,210
shop_icons/left/flamethrower.png,"ChatGPT Image May 27, 2026, 10_39_43 PM (3).png",shop_icons/left,flamethrower,336,123,504,213
